Response ID,Start language,Are you familiar with Open Science?,Are you involved in some of the following Open Science  activities such as: [sharing a research manuscript as a preprint],Are you involved in some of the following Open Science  activities such as: [publishing a paper or monograph/book as Open Access],"Are you involved in some of the following Open Science  activities such as: [pre-registration of the study design, methods, hypothesis, etc. prior to commencing the research]","Are you involved in some of the following Open Science  activities such as: [open or FAIR (Findable, Accessible, Interoperable, Reusable) data management and sharing (for research data, software, models, algorithms, workflows etc.)]",Are you involved in some of the following Open Science  activities such as: [participation in open peer review (being reviewed or the reviewer)],"Are you involved in some of the following Open Science  activities such as: [outreach and public engagement in science, including citizen (or community) science]",Are you involved in some of the following Open Science  activities such as: [collaboration via virtual research environments/virtual laboratories],Are you involved in some of the following Open Science  activities such as: [none of the above],"Are you involved in any other Open Science activities that you would like to mention? If yes, please specify.","Are you familiar with the FAIR (Findable, Accessible, Interoperable, and Reusable) principles (defined here )?",Are you involved in some steps of data FAIRification process such as those referred to here ? ,Specify which ones?,Does your institute /organisation have policies on various Open Science activities?,"Could you please specify briefly what kind of policy and provide a link to any relevant one, if possible?","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Sharing a research manuscript as a preprint]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Publishing a paper or monograph/book as Open Access]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Pre-registration of the study design, methods, hypothesis, etc. prior to commencing the research]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Open or FAIR (Findable, Accessible, Interoperable, Reusable) data management and sharing (for research data, software, models, algorithms, workflows etc.)]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Participation in open peer review (being reviewed or the reviewer)]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Participation in public engagement, including citizen (or community) science]","Could you please specify to what extent you feel the following activities should be credited / rewarded? ( Rewards may include career promotion, grants/funding/prizes, gained credits in a research evaluation procedure, authorship/ contributorship, increased academic visibility...)  [Collaboration via virtual research environments/virtual laboratories ]",Does your institute/organisation have any initiative or tool which gives credits/rewards for Open Science activities?,You’re welcome to point here to any document/link/contact to know more about it.,How would you want the previously mentioned Open Science activities to be rewarded ?,Suggested rewards categorised according to SHARC's rewarding terminology,Main position/job title: which of the following are you now?,Main position/job title: which of the following are you now? [Comment],Please select the type of organisation you are primarily affiliated with:,Please select the type of organisation you are primarily affiliated with: [Comment],Which country do you work in?,"What are your main disciplinary fields (up to 3; e.g., computer science, physics, biology, medicine)?",How long have you been working in your field?,Would you have anything else you think is relevant to mention?,Your gender:
101,en,Yes,No,Yes,No,Yes,Yes,No,No,No,,Yes,No,,Yes,,Definitely Not,Probably Not,Possibly,Definitely,Possibly,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,Government agency,,United States,Ecology; Plant Physiology,5-10 years,,female
102,en,Yes,Yes,Yes,No,No,No,Yes,No,No,,Yes,No,,Yes,,Possibly,Definitely,Possibly,Definitely,Definitely,Definitely,Possibly,Yes,,,funding/grants for OS activities,Researcher,,Research institute,,United States,Planetary Geology; Remote Sensing; Hydrology,10-20 years,,Female
103,en,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,No,N/A,,Yes,,Possibly,Definitely,Probably Not,Very Probably,Very Probably,Definitely,Very Probably,No,,,awards/bonuses,Postdoc,,University,,United States,Plasma Physics; Space Physics,5-10 years,,male
106,en,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Possibly,Possibly,No,,,OS certifications/badges,Researcher,,University,,Czech Republic,Earth Science; Informatics,> 20 years,,male
109,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Possibly,Very Probably,Probably Not,Very Probably,Very Probably,Very Probably,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,United States,Geoscience; Climate Modeling; Paleoclimate,> 20 years,,male
111,ko,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,,Yes,,Possibly,Very Probably,Possibly,Possibly,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities,Postdoc,,Research institute,,"Korea, Rep.",Technology Management; Mechanical Engineering,5-10 years,,M
112,ko,Yes,No,Yes,No,Yes,No,No,No,No,,Yes,No,,Yes,,Definitely Not,Definitely Not,Definitely Not,Definitely Not,Possibly,Possibly,Possibly,No,,,research reputation,Researcher,,Research institute,,"Korea, Rep.",Computer Science; Information Services; Software Engineering,> 20 years,,
113,ko,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,,Yes,,Possibly,Definitely,Very Probably,Very Probably,Very Probably,Possibly,Possibly,No,,,support through regulations and policy mandates,Researcher,,Research institute,,"Korea, Rep.",Information Science,5-10 years,,M
114,ko,Yes,No,Yes,No,No,No,No,No,No,,No,N/A,,Yes,,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,No,,,,Researcher,,Government agency,,"Korea, Rep.",Computer Science,> 20 years,,M
115,ko,Yes,No,No,No,No,No,Yes,No,No,,Yes,Yes,,Yes,,Very Probably,Very Probably,Possibly,Very Probably,Very Probably,Very Probably,Very Probably,No,,,,Researcher,,Research institute,,"Korea, Rep.",Environment; Science and Technology Policy,5-10 years,,F
119,ko,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Possibly,Possibly,Possibly,Possibly,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,"Graduate student (Master, PhD)",,Government agency,,"Korea, Rep.",Data Science,< 5 years,,F
121,ko,Yes,No,No,No,No,No,Yes,No,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Very Probably,Very Probably,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,"Korea, Rep.",Computer Science; Information Engineering,> 20 years,,F
122,ko,Yes,No,No,No,No,No,No,Yes,No,,No,N/A,,Yes,,Possibly,Possibly,Possibly,Possibly,Possibly,Possibly,Possibly,No,,,awards/bonuses; research reputation,Researcher,,Research institute,,"Korea, Rep.",Mechanical Engineering,5-10 years,,M
133,ko,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,,No,,Possibly,Very Probably,Possibly,Possibly,Possibly,Possibly,Possibly,No,,,funding/grants for OS activities,Researcher,,Research institute,,"Korea, Rep.",Computer Science; AI; Databases,10-20 years,,남
134,ko,Yes,No,No,No,Yes,No,No,No,No,,Yes,No,,No,,Very Probably,Definitely,Very Probably,Definitely,Very Probably,Very Probably,Very Probably,No,,,research reputation; funding/grants for OS activities; awards/bonuses,Policy officer,,Government agency,,"Korea, Rep.",Computer Science; Archival Science,5-10 years,,여
135,en,Yes,Yes,Yes,No,No,No,Yes,No,No,,Yes,No,,Yes,,Possibly,Very Probably,Possibly,Very Probably,Very Probably,Very Probably,Very Probably,No,,,,"Other, please specify in the comment box",,University,,United States,Open Access; Copyright; Author Rights,5-10 years,,
137,en,Yes,Yes,Yes,No,Yes,No,Yes,No,No,,Yes,No,,Yes,,Definitely,Definitely,,Definitely,,Definitely,Definitely,No,,,,Researcher,,Research institute,,United States,Geographic Information Science; Earth Observation; Computer Science,> 20 years,,female
138,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Possibly,Definitely,Definitely,Very Probably,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,United States,Climate Science; Climate Modeling; Atmospheric Science,5-10 years,,Female
139,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,No,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,"Other, please specify",,United States,Earth Science,10-20 years,,Female
140,ko,Yes,No,No,No,Yes,No,No,No,No,,Yes,No,,No,,Definitely,Definitely,Very Probably,Very Probably,Very Probably,Possibly,Possibly,No,,,,Researcher,,Research institute,,"Korea, Rep.",Chemistry; Computer Science; Biotechnology,> 20 years,,남
143,en,Yes,Yes,Yes,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Possibly,Definitely,Possibly,Definitely,Very Probably,Very Probably,Very Probably,Yes,,,,Researcher,,"Other, please specify",,Netherlands,Information Systems; Data Governance,5-10 years,,Male
144,en,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,Yes,No,,N/A,,Definitely,Definitely,Definitely,Definitely,Very Probably,Possibly,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; research visibility indicators; authorship/contributorship; awards/bonuses,Professor,,University,,United Kingdom,Law; Library and Information Science,> 20 years,,Male
148,en,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,Yes,No,,No,,Possibly,Very Probably,Definitely,Very Probably,Possibly,Possibly,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,University,,New Zealand,Biology; Computer Science,< 5 years,,
149,en,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,Yes,Yes,,Yes,,Possibly,Very Probably,Possibly,Definitely,Very Probably,Very Probably,Probably Not,No,,,,Researcher,,Research institute,,Netherlands,Sociology,5-10 years,,female
150,en,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,No,,Definitely,Very Probably,Very Probably,Definitely,Definitely,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; authorship/contributorship,Researcher,,University,,France,Ecology,10-20 years,,female
152,en,Yes,No,Yes,No,Yes,No,No,No,No,,Yes,Yes,,No,,Very Probably,Definitely,Definitely,Definitely,Very Probably,Possibly,Possibly,Yes,,,funding/grants for OS activities; OS indicators in research evaluation and/or career progression processes,Researcher,,University,,Lithuania,Political Sociology,10-20 years,,male
153,en,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,,Yes,No,,No,,Very Probably,Definitely,Very Probably,Definitely,Definitely,Definitely,Definitely,No,,,,Researcher,,University,,Spain,Biolaw,> 20 years,,Female
154,en,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Possibly,Very Probably,Probably Not,Probably Not,Definitely,Probably Not,Very Probably,No,,,research visibility indicators,Researcher,,University,,Lithuania,Media and Communication Studies; e-Democracy,10-20 years,,Male
157,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,No,,Yes,,Possibly,Definitely,Very Probably,Definitely,Definitely,Definitely,Possibly,Yes,,,OS indicators in research evaluation and/or career progression processes ,Researcher,,University,,Luxembourg,Systems Biomedicine; Bioinformatics,10-20 years,,
162,en,Yes,No,No,No,Yes,Yes,No,No,No,,Yes,No,,No,,Very Probably,Very Probably,Very Probably,Definitely,Very Probably,Very Probably,Very Probably,No,,,research visibility indicators,Researcher,,NGO / NPO,,Germany,Psychology; Education; Computer Science,< 5 years,,Female
164,en,Yes,No,Yes,Yes,No,Yes,Yes,No,No,,No,N/A,,No,,No opinion,Definitely,Definitely,Very Probably,Definitely,Very Probably,No opinion,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; awards/bonuses; research visibility indicators; authorship/contributorship,Researcher,,Research institute,,France,Epidemiology; Public Health,10-20 years,,
165,en,Yes,No,Yes,No,No,No,No,No,No,,No,N/A,,No,,Possibly,Definitely,Possibly,Definitely,Definitely,Definitely,Possibly,No,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes; authorship/contributorship,Researcher,,Research institute,,France,Epidemiology; Biostatistics,5-10 years,,F
166,en,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,,Yes,Yes,,No,,Possibly,Very Probably,Definitely,Very Probably,Definitely,Very Probably,Possibly,No,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes; authorship/contributorship,Postdoc,,Research institute,,France,Epidemiology; Biostatistics; Pharmacoepidemiology,5-10 years,,female
168,en,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,No opinion,Definitely,Definitely,No opinion,No opinion,No opinion,No opinion,No,,,,"Other, please specify in the comment box",,"Other, please specify",,France,Statistics; Public Health,10-20 years,,Male
170,en,Yes,No,Yes,No,No,No,Yes,No,No,,Yes,No,,Yes,,Probably Not,Very Probably,Very Probably,Very Probably,Very Probably,Very Probably,No opinion,Yes,,,"OS indicators in research evaluation and/or career progression processes; research visibility indicators; capacity building for OS (e.g., training, raising awareness, provision of IT tools)",Postdoc,,University,,Finland,Social Science,10-20 years,,
172,en,Yes,Yes,Yes,No,No,No,Yes,Yes,No,,Yes,No,,No,,Very Probably,Definitely,Very Probably,Possibly,Very Probably,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; awards/bonuses,Researcher,,Research institute,,France,Ethics and Law,10-20 years,,Male
173,en,Yes,Yes,No,No,No,No,Yes,No,No,,No,N/A,,Yes,,Very Probably,Definitely,Probably Not,Very Probably,Possibly,Definitely,Possibly,No,,,,Data specialist,,Research institute,,France,Epidemiology,5-10 years,,
174,en,Yes,Yes,No,No,No,No,No,Yes,No,,Yes,No,,Yes,,Possibly,Possibly,Possibly,Very Probably,Probably Not,Probably Not,Possibly,No,,,,"Graduate student (Master, PhD)",,University,,France,Law,< 5 years,,féminin
177,en,No,No,No,Yes,No,No,No,No,No,,No,N/A,,N/A,,Probably Not,Very Probably,Definitely,Possibly,Very Probably,Possibly,No opinion,No,,,,Data specialist,,Research institute,,France,Epidemiology; Public Health,10-20 years,,female
179,en,Yes,No,Yes,No,No,Yes,Yes,No,No,,Yes,No,,Yes,,Possibly,Very Probably,Probably Not,Very Probably,Very Probably,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,Estonia,Law,> 20 years,,Female
180,en,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,Yes,No,,No,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,University,,Serbia,Computer Science,10-20 years,,male
183,en,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Possibly,No,,,,"Other, please specify in the comment box",,NGO / NPO,,Lithuania,Multidisciplinary,> 20 years,,
184,en,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,,No,N/A,,No,,Possibly,Possibly,Definitely,Very Probably,Very Probably,Definitely,Possibly,No,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes,Professor,,University,,France,Epidemiology,< 5 years,,Male
185,en,Yes,Yes,Yes,No,No,No,No,No,No,,No,N/A,,Yes,,Possibly,Definitely,Probably Not,Possibly,Definitely,Definitely,Definitely,No,,,funding/grants for OS activities,"Graduate student (Master, PhD)",,University,,Belgium,Computer Science; Computer Vision; Machine Learning,5-10 years,,male
186,en,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Very Probably,Possibly,Possibly,Very Probably,Very Probably,Very Probably,Very Probably,No,,,"capacity building for OS (e.g., training, raising awareness, provision of IT tools)","Graduate student (Master, PhD)",,Research institute,,France,Epidemiology; Nutrition; Medecine,< 5 years,,F
187,en,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Very Probably,Possibly,Very Probably,Definitely,Possibly,Possibly,Probably Not,No,,,OS indicators in research evaluation and/or career progression processes,Postdoc,,University,,Netherlands,Computer Science; Physics; Biology; Chemistry,10-20 years,,
188,en,Yes,No,No,No,Yes,No,No,No,No,,Yes,No,,Yes,,Possibly,Definitely,Very Probably,Definitely,Definitely,Very Probably,Possibly,Yes,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes; authorship/contributorship,"Other, please specify in the comment box",,Government agency,,France,Bioinformatics,< 5 years,,female
189,en,No,No,No,Yes,No,No,No,No,No,,No,N/A,,N/A,,Probably Not,Definitely,Very Probably,Possibly,Very Probably,Possibly,Possibly,No,,,funding/grants for OS activities; awards/bonuses; research visibility indicators; OS indicators in research evaluation and/or career progression processes; authorship/contributorship,Researcher,,Research institute,,France,Medicine,5-10 years,,Male
191,en,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,,No,,Possibly,Possibly,Very Probably,Definitely,Possibly,Very Probably,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,Research institute,,France,Social Science; Medicine,> 20 years,,woman
193,en,No,Yes,No,No,No,Yes,No,No,No,,No,N/A,,No,,Definitely,Definitely,Very Probably,Very Probably,Possibly,Definitely,No opinion,No,,,funding/grants for OS activities; awards/bonuses,"Graduate student (Master, PhD)",,University,,France,Epidemiology,< 5 years,,female
196,en,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,Yes,,No,,Definitely,Definitely,Possibly,Definitely,Possibly,No opinion,No opinion,No,,,OS indicators in research evaluation and/or career progression processes ,Researcher,,Research institute,,France,Bioinformatics; Genomics,10-20 years,,male
197,en,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,,Yes,,Possibly,Possibly,Very Probably,Definitely,Possibly,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,Researcher,,"Other, please specify",,Germany,Informatics; Engineering; Chemistry,> 20 years,,Male
198,en,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,,No,,Definitely,Definitely,Definitely,Definitely,Definitely,Very Probably,Very Probably,No,,,,Professor,,University,,Croatia,Medicine,> 20 years,,M
199,en,Yes,Yes,No,No,Yes,No,Yes,No,No,,Yes,No,,Yes,,Possibly,Possibly,Very Probably,Definitely,Definitely,Very Probably,No opinion,No,,,awards/bonuses; OS indicators in research evaluation and/or career progression processes; research visibility indicators,Policy officer,,University,,France,Economics; Sustainable Development; Policy Research,5-10 years,,Male
200,en,No,No,No,No,No,No,No,No,Yes,,No,N/A,,Yes,,Possibly,Possibly,Possibly,Very Probably,Definitely,Definitely,Very Probably,No,,,,"Graduate student (Master, PhD)",,University,,France,Law,< 5 years,,
202,en,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,,Yes,,,,,,,,,No,,,,"Graduate student (Master, PhD)",,University,,France,Computer Science,< 5 years,,
203,en,Yes,No,No,No,Yes,No,No,No,No,,Yes,Yes,,No,,Definitely,Definitely,Possibly,Very Probably,Possibly,Very Probably,Possibly,No,,,OS indicators in research evaluation and/or career progression processes ,Data specialist,,University,,France,Social Sciences; Sociology,10-20 years,,F
210,en,Yes,Yes,No,Yes,No,No,Yes,No,No,,Yes,No,,Yes,,Very Probably,Probably Not,Possibly,Probably Not,Possibly,Possibly,Probably Not,No,,,no specific reward,Professor,,University,,France,Materials Science,> 20 years,,Male
222,en,Yes,No,Yes,No,Yes,No,Yes,No,No,,Yes,Yes,,No,,Very Probably,Very Probably,Possibly,Definitely,Possibly,Very Probably,Possibly,No,,,funding/grants for OS activities; OS activities included in working hours,Professor,,University,,Portugal,Chemical Engineering; Catalysis,5-10 years,,
224,en,Yes,No,No,No,Yes,Yes,Yes,No,No,,Yes,Yes,,Yes,,Very Probably,Possibly,Very Probably,Definitely,Very Probably,Possibly,Possibly,Yes,,,,Researcher,,Research institute,,Slovenia,Social Sciences,10-20 years,,female
226,en,Yes,Yes,No,No,Yes,No,No,No,No,,Yes,Yes,,Yes,,Definitely,Definitely,Very Probably,Definitely,Possibly,Possibly,Probably Not,No,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes,Data specialist,,Research institute,,Italy,Computer Science; Data Analysis,10-20 years,,Male
227,en,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,,No,,Definitely,Definitely,No opinion,Very Probably,Possibly,Possibly,Possibly,No,,,,Professor,,University,,"Korea, Rep.",Library and Information Science,< 5 years,,female
229,en,No,No,No,No,No,No,Yes,No,No,,No,N/A,,No,,Possibly,Possibly,Definitely,Definitely,Possibly,Very Probably,Possibly,No,,,,"Graduate student (Master, PhD)",,University,,Denmark,Public Health,< 5 years,,
231,en,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,,No,,Definitely,Definitely,Very Probably,Very Probably,Probably Not,Possibly,Possibly,No,,,punishment for 'closed' science,Professor,,Government agency,,Denmark,Public Health,> 20 years,,Male
233,en,Yes,No,No,No,No,No,No,No,Yes,,Yes,Yes,,Yes,,Very Probably,Definitely,Very Probably,Definitely,Very Probably,Probably Not,Possibly,Yes,,,science as a public good; funding/grants for OS activities,"Other, please specify in the comment box",,Research institute,,Netherlands,Sciences,5-10 years,,Why does that matter
236,en,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,No,,Yes,,Probably Not,Possibly,Very Probably,Very Probably,Possibly,Possibly,Possibly,No,,,,Researcher,,University,,United Kingdom,Computer Science,10-20 years,,Female
238,en,Yes,No,Yes,No,No,Yes,Yes,No,No,,Yes,No,,Yes,,No opinion,Definitely,Probably Not,Very Probably,Definitely,Definitely,Definitely,No,,,funding/grants for OS activities,Postdoc,,University,,Belgium,Economic Geography,10-20 years,,male
240,en,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,N/A,,No,,Definitely,Definitely,No opinion,Definitely,No opinion,Possibly,Definitely,No,,,OS indicators in research evaluation and/or career progression processes,Software engineer,,University,,United States,Epidemiology; Computer Science,< 5 years,,Genderqueer
245,en,Yes,No,Yes,No,No,Yes,No,No,No,,Yes,N/A,,N/A,,Definitely Not,Possibly,Definitely Not,Possibly,Possibly,Possibly,Probably Not,No,,,,Professor,,Government agency,,France,Biology,5-10 years,,
247,en,Yes,Yes,No,Yes,No,Yes,No,No,No,,Yes,Yes,,No,,Possibly,Definitely,Definitely,Definitely,Definitely,Possibly,Possibly,No,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes ,Researcher,,Research institute,,France,Public Health,10-20 years,,f
248,en,Yes,No,No,No,No,No,No,No,Yes,,Yes,No,,Yes,,,Definitely,Very Probably,Definitely,Possibly,Definitely,Possibly,No,,,,Professor,,University,,France,Biostatistic,> 20 years,,F
249,en,Yes,Yes,No,No,Yes,Yes,No,No,No,,Yes,No,,N/A,,No opinion,Definitely,No opinion,Definitely,Definitely,Definitely,Possibly,Yes,,,no specific reward,Researcher,,Government agency,,France,Microbiology,> 20 years,,
250,en,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,No,N/A,,Yes,,Very Probably,Definitely,Very Probably,No opinion,Definitely,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,Research institute,,France,Biology; Medicine,10-20 years,,male
251,en,Yes,Yes,Yes,No,No,No,No,No,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; awards/bonuses,"Other, please specify in the comment box",,Research institute,,France,Neuroscience; Neuroimaging,10-20 years,,female
255,en,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Yes,No,,Yes,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Possibly,Yes,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activitie; awards/bonuses,Researcher,,University,,France,Immunology; Oncology; Cell Therapy,> 20 years,,male
257,en,Yes,No,Yes,No,Yes,Yes,Yes,No,No,,Yes,No,,Yes,,Definitely Not,Very Probably,No opinion,Definitely,Definitely,Definitely,No opinion,No,,,funding/grants for OS activities,Researcher,,Research institute,,France,Biology,10-20 years,,female
258,en,No,Yes,Yes,No,No,No,No,No,No,,No,N/A,,Yes,,Probably Not,Very Probably,Definitely,Very Probably,Definitely,Very Probably,Very Probably,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; awards/bonuses,Postdoc,,Research institute,,France,Epidemiology; Public Health; Psychiatry,5-10 years,,woman
263,en,Yes,No,Yes,No,No,No,Yes,No,No,,No,N/A,,Yes,,Possibly,Probably Not,Definitely Not,Possibly,Definitely,Definitely,Possibly,No,,,OS indicators in research evaluation and/or career progression processes,Professor,,Research institute,,France,Neuroscience; Medicine; Human Neurophysiology,> 20 years,,male
264,en,No,No,No,No,No,No,No,No,Yes,,No,N/A,,No,,Possibly,Definitely,Definitely Not,Definitely,Possibly,Possibly,Possibly,No,,,no specific reward,Researcher,,Research institute,,France,Biology,> 20 years,,
265,en,Yes,No,No,No,No,No,No,No,Yes,,No,N/A,,Yes,,Possibly,Possibly,Very Probably,Possibly,Possibly,Definitely,No opinion,Yes,,,OS indicators in research evaluation and/or career progression processes,Researcher,,Research institute,,France,Image processing; Medical Imaging; Cardiovascular,10-20 years,,
269,en,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,Yes,No,,No,,Probably Not,Possibly,Definitely,Definitely,Very Probably,Very Probably,Possibly,No,,,,Researcher,,Research institute,,France,Medical Imaging,10-20 years,,male
271,en,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,Yes,Yes,,Yes,,Very Probably,Very Probably,Definitely,Definitely,Definitely,Definitely,Definitely,Yes,,,OS indicators in research evaluation and/or career progression processes,"Other, please specify in the comment box",,"Publisher (e.g., scholarly societies)",,United States,Data Science; Informatics; Project Management,> 20 years,,Female (she/her)
272,en,Yes,No,No,No,Yes,No,No,Yes,No,,Yes,Yes,,No,,Very Probably,Very Probably,Very Probably,Very Probably,Possibly,Definitely,Probably Not,No,,,research visibility indicators; OS indicators in research evaluation and/or career progression processes; authorship/contributorship,"Graduate student (Master, PhD)",,University,,United States,Paleoclimatology; Oceanography; Climate Science,< 5 years,,
274,en,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Yes,No,,Yes,,Very Probably,Probably Not,Very Probably,Very Probably,Very Probably,Possibly,Possibly,Yes,,,"capacity building for OS (e.g., training, raising awareness, provision of IT tools)",Researcher,,Research institute,,France,Public Health; Statistics; Medicine,> 20 years,,female
275,en,Yes,No,Yes,No,No,No,Yes,No,No,,Yes,No,,No,,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,Definitely,No,,,funding/grants for OS activities; awards/bonuses; research visibility indicators; OS indicators in research evaluation and/or career progression processes; authorship/contributorship,"Graduate student (Master, PhD)",,University,,Brazil,Social Scieces,5-10 years,,Female cis
276,en,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,,Yes,No,,Yes,,Definitely,Definitely,Possibly,Definitely,Possibly,Possibly,Very Probably,Yes,,,OS indicators in research evaluation and/or career progression processes,Policy officer,,University,,Netherlands,Earth Sciences; Humanities,5-10 years,,
278,en,Yes,Yes,No,No,Yes,Yes,No,No,No,,Yes,Yes,,Yes,,Possibly,Possibly,Definitely,Definitely,Possibly,Possibly,Possibly,No,,,,Data specialist,,International organisation,,Germany,Neuroscience; Data Science,5-10 years,,
282,en,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,Yes,Yes,,No,,Probably Not,Very Probably,Definitely,Definitely,Definitely Not,Probably Not,Probably Not,No,,,OS indicators in research evaluation and/or career progression processes; funding/grants for OS activities; awards/bonuses,Professor,,University,,France,Medical Sciences,> 20 years,,
